pseudo	target_pseudo	common_tweet	common_ngram
FranceRsistanc1	LevyLoiseau	21	320
LevyLoiseau	FranceRsistanc1	21	320
Rakiko_Hime	conspjustice	21	389
Alicesweatdream	AnneIbiza13	20	240
Alicesweatdream	aux_frontieres	20	240
Alicesweatdream	Danygo97	20	240
Alicesweatdream	GrobisR	20	250
Alicesweatdream	IOANIDIS1	20	240
Alicesweatdream	orphee45	20	240
Alicesweatdream	PERLOU55	20	240
AnneIbiza13	Alicesweatdream	20	240
aux_frontieres	Alicesweatdream	20	240
conspjustice	IOANIDIS1	20	343
Danygo97	Alicesweatdream	20	240
GrobisR	Alicesweatdream	20	250
IOANIDIS1	Alicesweatdream	20	240
IOANIDIS1	conspjustice	20	343
orphee45	Alicesweatdream	20	240
PERLOU55	Alicesweatdream	20	240
FranceRsistanc1	Rakiko_Hime	19	386
guyboulianne	languillem	19	559
languillem	guyboulianne	19	559
marielenbenede	MARTELCharles13	19	541
MARTELCharles13	marielenbenede	19	541
Rakiko_Hime	FranceRsistanc1	19	386
AstroRainbow	jbdespelotes	18	492
badiramour	loindevant	18	244
InfoManip	jbdespelotes	18	216
jbdespelotes	AstroRainbow	18	492
jbdespelotes	InfoManip	18	216
jbdespelotes	ORiNOCO_117	18	289
jbdespelotes	RoullierY	18	288
jbdespelotes	tarod64600	18	216
jbdespelotes	thuiop1	18	288
languillem	LorrainRuth	18	306
loindevant	badiramour	18	244
LorrainRuth	languillem	18	306
ORiNOCO_117	jbdespelotes	18	289
RoullierY	jbdespelotes	18	288
tarod64600	jbdespelotes	18	216
thuiop1	jbdespelotes	18	288
Aladerecha5	LorrainRuth	17	438
badiramour	FranceRsistanc1	17	243
ClocloQuebec4	LorrainRuth	17	438
EbenYaakov	LorrainRuth	17	438
FranceRsistanc1	badiramour	17	243
jsp1963	leblogALupus	17	434
leblogALupus	jsp1963	17	434
LissandraLJ	LorrainRuth	17	234
LorrainRuth	Aladerecha5	17	438
LorrainRuth	ClocloQuebec4	17	438
LorrainRuth	EbenYaakov	17	438
LorrainRuth	LissandraLJ	17	234
LorrainRuth	NazratatReig06	17	408
NazratatReig06	LorrainRuth	17	408
AstroRainbow	Jacques_j_r	16	461
Barberis888	CMJdessin	16	224
CMJdessin	Barberis888	16	224
EricFouque	Jab52201002	16	482
EricFouque	LandelleDavid	16	416
EricFouque	MCFanjas	16	408
InfoManip	Jacques_j_r	16	205
InfoManip	solarcx69	16	198
Jab52201002	EricFouque	16	482
Jab52201002	LandelleDavid	16	408
Jab52201002	MCFanjas	16	406
Jacques_j_r	AstroRainbow	16	461
Jacques_j_r	InfoManip	16	205
Jacques_j_r	ORiNOCO_117	16	254
Jacques_j_r	RoullierY	16	249
Jacques_j_r	tarod64600	16	210
Jacques_j_r	thuiop1	16	254
LandelleDavid	EricFouque	16	416
LandelleDavid	Jab52201002	16	408
LandelleDavid	MCFanjas	16	512
MCFanjas	EricFouque	16	408
MCFanjas	Jab52201002	16	406
MCFanjas	LandelleDavid	16	512
ORiNOCO_117	Jacques_j_r	16	254
ORiNOCO_117	solarcx69	16	264
RoullierY	Jacques_j_r	16	249
solarcx69	InfoManip	16	198
solarcx69	ORiNOCO_117	16	264
solarcx69	tarod64600	16	198
solarcx69	thuiop1	16	263
tarod64600	Jacques_j_r	16	210
tarod64600	solarcx69	16	198
thuiop1	Jacques_j_r	16	254
thuiop1	solarcx69	16	263
AstroRainbow	solarcx69	15	420
conspjustice	laizet2	15	230
laizet2	conspjustice	15	230
laizet2	LevyLoiseau	15	269
LevyLoiseau	laizet2	15	269
LevyLoiseau	loindevant	15	253
LevyLoiseau	Rakiko_Hime	15	297
loindevant	LevyLoiseau	15	253
Rakiko_Hime	LevyLoiseau	15	297
RoullierY	solarcx69	15	232
solarcx69	AstroRainbow	15	420
solarcx69	RoullierY	15	232
badiramour	VOiseaufeu	14	235
CarlAntoine	Planetes360	14	214
conspjustice	LevyLoiseau	14	243
laizet2	PERLOU55	14	257
leJDD	MokhtarFrancois	14	168
LevyLoiseau	conspjustice	14	243
MokhtarFrancois	leJDD	14	168
PERLOU55	laizet2	14	257
Planetes360	CarlAntoine	14	214
VOiseaufeu	badiramour	14	235
361Yra	Quisuisje13	13	167
androctone	Quisuisje13	13	167
AponiLife	Quisuisje13	13	167
Arlettedaix13	Quisuisje13	13	167
AumassonNorbert	Quisuisje13	13	167
aux_frontieres	conspjustice	13	215
badiramour	LevyLoiseau	13	165
Barberis888	LeNidAigle3	13	199
BenjaminLvy	Quisuisje13	13	167
cherifat	Quisuisje13	13	167
cma19600	Quisuisje13	13	167
conspjustice	aux_frontieres	13	215
conspjustice	Danygo97	13	189
conspjustice	Kernunnos	13	217
Danygo97	conspjustice	13	189
DespaigneElyane	Quisuisje13	13	167
estherPajars2	Quisuisje13	13	167
EtienneVivet	Quisuisje13	13	167
ExoPortail	jsp1963	13	240
